TreeGross Exchange Data: by BWINPro;;;;;;;;;;;;;;;;
1500421 / 16a1;;;;;;;;;;;;;;;;
2008;Jahr;;;;;;;;;;;;;;;
0.600;Flaechengroesse ha;;;;;;;;;;;;;;;
4;Anzahl Eckpunkte;;;;;;;;;;;;;;;
No;x;y;z;;;;;;;;;;;;;
ECK1;0;0;0;;;;;;;;;;;;;
ECK2;0;77.46;0;;;;;;;;;;;;;
ECK3;77.46;77.46;0;;;;;;;;;;;;;
ECK4;77.46;0;0;;;;;;;;;;;;;
Code;N;No;Age;DBH;Heigt;Site ind.;Crown Base;Crown width;alive;Removal Code;x-Coord;y-Coord;z-Coord;crpt tree;Temp Crop tree;Habitat tree
711;3;0;25;8;8.0;-9;0;0;-1;0;0;0;0;0;0;0
711;2;0;25;10;8.0;-9;0;0;-1;0;0;0;0;0;0;0
410;22;0;25;8;8.0;-9;0;0;-1;0;0;0;0;0;0;0
410;17;0;25;10;8.0;-9;0;0;-1;0;0;0;0;0;0;0
410;2;0;25;12;8.0;-9;0;0;-1;0;0;0;0;0;0;0
410;18;0;25;8;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;18;0;25;10;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;8;0;25;12;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;0;25;14;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;0;25;16;8.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;0;113;22;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;6;0;113;24;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;10;0;113;26;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;6;0;113;28;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;14;0;113;30;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;8;0;113;32;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;13;0;113;34;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;13;0;113;36;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;12;0;113;38;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;7;0;113;40;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;2;0;113;42;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;4;0;113;44;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;0;113;46;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;0;113;48;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;0;113;54;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;2;0;113;26;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;2;0;113;28;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;3;0;113;30;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;5;0;113;32;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;2;0;113;34;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;3;0;113;36;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;2;0;113;38;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;7;0;113;40;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;3;0;113;42;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;4;0;113;44;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;2;0;113;46;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;2;0;113;50;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;0;113;54;23.0;-9;0;0;2008;0;0;0;0;0;0;0

